county,profile,source_features,target_field,source_field,observed_value,normalized_value,count,resolved_target_value,status,approved_target_value,note
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,DOT_SRFTYP,RoadSurfaceType,Asphalt,ASPHALT,20945,,review,P-ASP,
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,DOT_SRFTYP,RoadSurfaceType,Concrete,CONCRETE,104,,review,P-CON,
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,DOT_SRFTYP,RoadSurfaceType,Gravel,GRAVEL,5,,review,I,
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,POSTTYPE,RoadNameType,Cswy,CSWY,1,,review,,no matching value
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,POSTTYPE,RoadNameType,Pne,PNE,1,,review,,no matching value
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,POSTTYPE,RoadNameType,Wy,WY,806,,review,WAY,this is the correct format
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,PREDIR,PrefixDirection,EB,EB,287,,review,,"no matching value in PREDIR field, part of NAME"
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,PREDIR,PrefixDirection,NB,NB,648,,review,,"no matching value in PREDIR field, part of NAME"
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,PREDIR,PrefixDirection,SB,SB,621,,review,,"no matching value in PREDIR field, part of NAME"
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,PREDIR,PrefixDirection,WB,WB,297,,review,,"no matching value in PREDIR field, part of NAME"
Duchesne,duchesne,C:\Mac\Home\Documents\working\utrans\county_obtained\Duchesne\DuchesneCo_20191009.gdb\Centerlines,DOT_SRFTYP,SURFTYPE,300,300,1,,review,N,
Duchesne,duchesne,C:\Mac\Home\Documents\working\utrans\county_obtained\Duchesne\DuchesneCo_20191009.gdb\Centerlines,DOT_SRFTYP,SURFTYPE,GRAVEL,GRAVEL,2,,review,I,
Duchesne,duchesne,C:\Mac\Home\Documents\working\utrans\county_obtained\Duchesne\DuchesneCo_20191009.gdb\Centerlines,DOT_SRFTYP,SURFTYPE,OTHER,OTHER,37,,review,,no matching value
Emery,emery,C:\Mac\Home\Documents\working\utrans\county_obtained\Emery\EmeryCo_20260611.gdb\Roads,DOT_SRFTYP,S_SURF2,300,300,3,,review,N,
